timestep,true_position,predicted_position,trajectory_error,path_error,nees,train_samples,test_id
0.0,[ -305.20093726 11088.32992896     0.        ],[ -305.20093726 11088.32992896     0.        ],[0. 0. 0.],[0. 0. 0.],0.0,27,270
150.0,[  312.62223665 10040.19042842   150.        ],[  193.26995834 10057.12213541   150.        ],[-119.3522783    16.93170699    0.        ],[-86.21255852 -51.65672578  10.        ],0.05845504618800978,27,270
208.0,[ 490.73342191 9712.57401631  208.        ],[ 392.30389694 9645.07074574  210.        ],[-98.42952498 -67.50327057   2.        ],[-98.42952498 -67.50327057   2.        ],0.05719164749113678,27,270
369.0,[1115.9778952 8627.8701421  369.       ],[ 924.40456126 8542.00505578  370.        ],[-191.57333394  -85.86508632    1.        ],[-191.57333394  -85.86508632    1.        ],0.17727985027858695,27,270
772.0,[2577.97387429 5957.76274253  772.        ],[2247.77840034 5782.51195117  770.        ],[-330.19547395 -175.25079136   -2.        ],[-330.19547395 -175.25079136   -2.        ],0.5668949136113304,27,270
0.0,[1116.34896017 9978.42187418    0.        ],[1116.34896017 9978.42187418    0.        ],[0. 0. 0.],[0. 0. 0.],0.0,500,271
80.0,[1233.79102296 9220.26656753   80.        ],[1177.86128155 9154.58387142   80.        ],[-55.92974141 -65.68269612   0.        ],[-62.71273593  37.36751384 -10.        ],0.03202199453334022,500,271
277.0,[1566.63630043 6992.29304135  277.        ],[1321.86153427 7070.05627527  280.        ],[-244.77476617   77.76323392    3.        ],[-237.44701109  -25.49683641   13.        ],0.35720571513371907,500,271
370.0,[1659.40254276 6399.65073655  370.        ],[1393.39381664 6157.42419465  370.        ],[-266.00872611 -242.2265419     0.        ],[-283.78376297  -31.18104091  -20.        ],0.48891520127382265,500,271
448.0,[1790.01741196 5595.87743724  448.        ],[1502.6913624  5311.41018581  450.        ],[-287.32604955 -284.46725143    2.        ],[-321.78531442    5.14923044  -28.        ],0.5567154093673871,500,271
630.0,[1977.03415649 3801.30651516  630.        ],[1728.52701414 3532.21293683  630.        ],[-248.50714235 -269.09357833    0.        ],[-272.1087956  -73.0786354  -20.       ],0.6249869908423943,500,271
